task_id,type,use_memory,success,terminal_state,total_tokens,agent_turns
c01,cross_domain,True,False,answered,54017,1
c02,cross_domain,True,True,answered,56855,2
c03,cross_domain,True,False,answered,42988,2
c04,cross_domain,True,False,answered,46877,1
c05,cross_domain,True,False,answered,31647,1
c06,cross_domain,True,False,loop_detected,134608,4
c07,cross_domain,True,False,answered,46126,1
c08,cross_domain,True,True,answered,21229,2
b01,misroute_bait,True,False,answered,3330,0
b02,misroute_bait,True,True,answered,43030,1
b03,misroute_bait,True,False,answered,53834,1
b04,misroute_bait,True,False,answered,13489,1
n01,no_tool,True,True,answered,3271,0
n02,no_tool,True,True,answered,2958,0
n03,no_tool,True,True,answered,3300,0
h01,handoff_stress,True,False,answered,32553,1
h02,handoff_stress,True,False,answered,31690,1
u01,unanswerable,True,True,answered,3166,0
u02,unanswerable,True,False,error,6106,0
s01,single,True,False,answered,54521,1
c01,cross_domain,False,False,answered,27018,1
c02,cross_domain,False,True,answered,54638,2
c03,cross_domain,False,False,answered,31272,1
c04,cross_domain,False,True,answered,19681,2
c05,cross_domain,False,False,answered,43015,1
c06,cross_domain,False,False,answered,48317,1
c07,cross_domain,False,True,answered,7924,1
c08,cross_domain,False,True,answered,16237,2
b01,misroute_bait,False,False,answered,2515,0
b02,misroute_bait,False,False,answered,27055,1
b03,misroute_bait,False,False,answered,39353,1
b04,misroute_bait,False,False,answered,6328,1
n01,no_tool,False,True,answered,2580,0
n02,no_tool,False,True,answered,2254,0
n03,no_tool,False,True,answered,2559,0
h01,handoff_stress,False,False,answered,31149,2
h02,handoff_stress,False,False,answered,27485,1
u01,unanswerable,False,True,answered,21796,1
u02,unanswerable,False,False,answered,53341,1
s01,single,False,True,answered,16829,1
