config,type,success,avg_tool_calls,avg_tokens,p50,p95,cap_breaches
rag,single,10/55,1.0,4267.272727272727,1416.978146999099,4220.5675744998925,0
rag,multi_hop,0/30,1.0,4207.333333333333,1356.2492299997755,1709.5906253003702,0
rag,no_tool,n/a,,,,,0
rag,unanswerable,15/15,1.0,4113.0,1340.167541999108,1506.753252799899,0
rag,tool_fails,n/a,,,,,0
agent,single,35/55,2.327272727272727,23937.109090909093,8876.626589000807,16216.103606600518,0
agent,multi_hop,17/30,3.7333333333333334,68200.53333333334,13695.89294399975,27777.32165670068,5
agent,no_tool,15/15,0.0,2403.133333333333,3636.650853999527,7550.321756900485,0
agent,unanswerable,9/15,3.066666666666667,30627.2,12178.54560299929,15389.064473699364,0
agent,tool_fails,10/10,2.0,14740.5,6876.778946500053,10100.823665850205,0
