type,config,tasks,runs,success,agent_turns_avg,tool_calls_avg,p50_latency_ms,p95_latency_ms,cap_breaches,loops
cross_domain,single,8,24,13/24 (54%),1.0,3.5,13114.0,17540.0,0,0
cross_domain,team,8,24,13/24 (54%),1.54,3.67,22038.0,27501.0,0,0
handoff_stress,single,2,6,0/6 (0%),1.0,2.0,5221.0,7369.0,0,0
handoff_stress,team,2,6,0/6 (0%),1.5,2.0,13557.0,17454.0,0,0
misroute_bait,single,4,12,3/12 (25%),0.75,1.83,8944.0,13440.0,0,0
misroute_bait,team,4,12,3/12 (25%),1.0,2.42,19679.0,23385.0,0,0
no_tool,single,3,9,9/9 (100%),0.0,0.0,7339.0,7797.0,0,0
no_tool,team,3,9,9/9 (100%),0.0,0.0,6812.0,7198.0,0,0
single,single,1,3,0/3 (0%),1.0,4.0,13473.0,13498.0,0,0
single,team,1,3,3/3 (100%),1.0,2.0,13337.0,13681.0,0,0
unanswerable,single,2,6,6/6 (100%),1.0,2.0,8433.0,10956.0,0,0
unanswerable,team,2,6,6/6 (100%),0.5,1.5,10798.0,21568.0,0,0
